,Algorithm,CandidatesNum,PopulationSize,Alpha,IterationNumber,Result
533,4,5,45,0.3,20,4.2
534,4,5,45,0.3,25,4.4
535,4,5,45,0.3,30,4.6
536,4,5,45,0.3,35,4.4
537,4,5,45,0.3,40,4.6
538,4,5,45,0.3,45,4.8
539,4,5,45,0.3,50,4.4
540,4,5,50,0.05,5,4.8
541,4,5,50,0.05,10,4.6
542,4,5,50,0.05,15,4.6
543,4,5,50,0.05,20,4.8
544,4,5,50,0.05,25,4.6
545,4,5,50,0.05,30,4.6
546,4,5,50,0.05,35,4.6
547,4,5,50,0.05,40,4.6
548,4,5,50,0.05,45,4.8
549,4,5,50,0.05,50,4.2
550,4,5,50,0.1,5,4.6
551,4,5,50,0.1,10,4.6
552,4,5,50,0.1,15,4.8
553,4,5,50,0.1,20,4.4
554,4,5,50,0.1,25,4.6
555,4,5,50,0.1,30,4.4
556,4,5,50,0.1,35,4.8
557,4,5,50,0.1,40,4.4
558,4,5,50,0.1,45,4.6
559,4,5,50,0.1,50,4.4
560,4,5,50,0.15,5,4.8
561,4,5,50,0.15,10,4.6
562,4,5,50,0.15,15,5.0
563,4,5,50,0.15,20,4.6
564,4,5,50,0.15,25,4.6
565,4,5,50,0.15,30,4.6
566,4,5,50,0.15,35,4.4
567,4,5,50,0.15,40,4.6
568,4,5,50,0.15,45,4.4
569,4,5,50,0.15,50,5.0
570,4,5,50,0.2,5,4.6
571,4,5,50,0.2,10,4.6
572,4,5,50,0.2,15,4.8
573,4,5,50,0.2,20,4.4
574,4,5,50,0.2,25,4.8
575,4,5,50,0.2,30,4.8
576,4,5,50,0.2,35,4.8
577,4,5,50,0.2,40,4.6
578,4,5,50,0.2,45,4.8
579,4,5,50,0.2,50,4.8
580,4,5,50,0.25,5,4.6
581,4,5,50,0.25,10,4.6
582,4,5,50,0.25,15,4.4
583,4,5,50,0.25,20,4.6
584,4,5,50,0.25,25,4.8
585,4,5,50,0.25,30,4.6
586,4,5,50,0.25,35,4.6
587,4,5,50,0.25,40,4.8
588,4,5,50,0.25,45,4.8
589,4,5,50,0.25,50,4.8
590,4,5,50,0.3,5,4.6
591,4,5,50,0.3,10,4.4
592,4,5,50,0.3,15,4.4
593,4,5,50,0.3,20,4.4
594,4,5,50,0.3,25,4.6
595,4,5,50,0.3,30,5.0
596,4,5,50,0.3,35,4.4
597,4,5,50,0.3,40,4.6
598,4,5,50,0.3,45,4.4
599,4,5,50,0.3,50,4.0
600,4,10,5,0.05,5,5.2
601,4,10,5,0.05,10,5.8
602,4,10,5,0.05,15,5.4
603,4,10,5,0.05,20,5.2
604,4,10,5,0.05,25,5.2
605,4,10,5,0.05,30,5.6
606,4,10,5,0.05,35,5.6
607,4,10,5,0.05,40,5.6
608,4,10,5,0.05,45,5.4
609,4,10,5,0.05,50,5.4
610,4,10,5,0.1,5,5.4
611,4,10,5,0.1,10,5.4
612,4,10,5,0.1,15,5.4
613,4,10,5,0.1,20,5.4
614,4,10,5,0.1,25,4.6
615,4,10,5,0.1,30,4.8
616,4,10,5,0.1,35,5.6
617,4,10,5,0.1,40,4.6
618,4,10,5,0.1,45,5.2
619,4,10,5,0.1,50,5.2
620,4,10,5,0.15,5,5.4
621,4,10,5,0.15,10,5.4
622,4,10,5,0.15,15,5.2
623,4,10,5,0.15,20,5.2
624,4,10,5,0.15,25,5.2
625,4,10,5,0.15,30,4.8
626,4,10,5,0.15,35,5.2
627,4,10,5,0.15,40,5.0
628,4,10,5,0.15,45,4.6
629,4,10,5,0.15,50,4.6
630,4,10,5,0.2,5,5.6
631,4,10,5,0.2,10,5.0
632,4,10,5,0.2,15,4.8
633,4,10,5,0.2,20,5.0
634,4,10,5,0.2,25,5.6
635,4,10,5,0.2,30,5.2
636,4,10,5,0.2,35,4.8
637,4,10,5,0.2,40,4.8
638,4,10,5,0.2,45,5.0
639,4,10,5,0.2,50,5.0
640,4,10,5,0.25,5,5.4
641,4,10,5,0.25,10,5.2
642,4,10,5,0.25,15,5.4
643,4,10,5,0.25,20,5.0
644,4,10,5,0.25,25,5.4
645,4,10,5,0.25,30,5.2
646,4,10,5,0.25,35,5.0
647,4,10,5,0.25,40,5.4
648,4,10,5,0.25,45,4.8
649,4,10,5,0.25,50,5.0
650,4,10,5,0.3,5,5.0
651,4,10,5,0.3,10,5.8
652,4,10,5,0.3,15,5.4
653,4,10,5,0.3,20,5.2
654,4,10,5,0.3,25,5.0
655,4,10,5,0.3,30,4.8
656,4,10,5,0.3,35,5.0
657,4,10,5,0.3,40,5.0
658,4,10,5,0.3,45,5.2
659,4,10,5,0.3,50,5.2
660,4,10,10,0.05,5,5.6
661,4,10,10,0.05,10,5.4
662,4,10,10,0.05,15,5.0
663,4,10,10,0.05,20,5.0
664,4,10,10,0.05,25,5.0
665,4,10,10,0.05,30,5.0
666,4,10,10,0.05,35,5.0
667,4,10,10,0.05,40,4.6
668,4,10,10,0.05,45,4.8
669,4,10,10,0.05,50,4.8
670,4,10,10,0.1,5,5.4
671,4,10,10,0.1,10,5.6
672,4,10,10,0.1,15,5.0
673,4,10,10,0.1,20,4.8
674,4,10,10,0.1,25,5.0
675,4,10,10,0.1,30,5.0
676,4,10,10,0.1,35,5.0
677,4,10,10,0.1,40,4.6
678,4,10,10,0.1,45,4.8
679,4,10,10,0.1,50,4.6
680,4,10,10,0.15,5,5.4
681,4,10,10,0.15,10,5.2
682,4,10,10,0.15,15,4.8
683,4,10,10,0.15,20,4.6
684,4,10,10,0.15,25,4.6
685,4,10,10,0.15,30,5.0
686,4,10,10,0.15,35,5.0
687,4,10,10,0.15,40,4.4
688,4,10,10,0.15,45,5.2
689,4,10,10,0.15,50,4.6
690,4,10,10,0.2,5,5.4
691,4,10,10,0.2,10,5.2
692,4,10,10,0.2,15,5.0
693,4,10,10,0.2,20,4.8
694,4,10,10,0.2,25,5.0
695,4,10,10,0.2,30,4.2
696,4,10,10,0.2,35,4.8
697,4,10,10,0.2,40,4.6
698,4,10,10,0.2,45,4.2
699,4,10,10,0.2,50,4.6
700,4,10,10,0.25,5,5.4
701,4,10,10,0.25,10,5.6
702,4,10,10,0.25,15,5.4
703,4,10,10,0.25,20,5.2
704,4,10,10,0.25,25,4.6
705,4,10,10,0.25,30,4.8
706,4,10,10,0.25,35,4.6
707,4,10,10,0.25,40,4.8
708,4,10,10,0.25,45,4.4
709,4,10,10,0.25,50,5.2
710,4,10,10,0.3,5,5.0
711,4,10,10,0.3,10,5.2
712,4,10,10,0.3,15,4.8
713,4,10,10,0.3,20,5.0
714,4,10,10,0.3,25,5.2
715,4,10,10,0.3,30,4.8
716,4,10,10,0.3,35,4.6
717,4,10,10,0.3,40,4.8
718,4,10,10,0.3,45,5.0
719,4,10,10,0.3,50,4.6
720,4,10,15,0.05,5,5.2
721,4,10,15,0.05,10,4.8
722,4,10,15,0.05,15,4.8
723,4,10,15,0.05,20,5.4
724,4,10,15,0.05,25,4.8
725,4,10,15,0.05,30,5.0
726,4,10,15,0.05,35,4.6
727,4,10,15,0.05,40,5.0
728,4,10,15,0.05,45,5.0
729,4,10,15,0.05,50,4.2
730,4,10,15,0.1,5,5.0
731,4,10,15,0.1,10,5.0
732,4,10,15,0.1,15,5.0
733,4,10,15,0.1,20,4.8
734,4,10,15,0.1,25,5.0
735,4,10,15,0.1,30,4.4
736,4,10,15,0.1,35,5.0
737,4,10,15,0.1,40,4.4
738,4,10,15,0.1,45,4.8
739,4,10,15,0.1,50,4.8
740,4,10,15,0.15,5,4.6
741,4,10,15,0.15,10,5.0
742,4,10,15,0.15,15,4.6
743,4,10,15,0.15,20,4.6
744,4,10,15,0.15,25,4.6
745,4,10,15,0.15,30,4.4
746,4,10,15,0.15,35,4.6
747,4,10,15,0.15,40,5.0
748,4,10,15,0.15,45,5.0
749,4,10,15,0.15,50,4.6
750,4,10,15,0.2,5,5.2
751,4,10,15,0.2,10,4.8
752,4,10,15,0.2,15,5.0
753,4,10,15,0.2,20,4.8
754,4,10,15,0.2,25,5.0
755,4,10,15,0.2,30,5.0
756,4,10,15,0.2,35,5.0
757,4,10,15,0.2,40,4.6
758,4,10,15,0.2,45,5.0
759,4,10,15,0.2,50,5.2
760,4,10,15,0.25,5,5.4
761,4,10,15,0.25,10,4.8
762,4,10,15,0.25,15,5.2
763,4,10,15,0.25,20,5.2
764,4,10,15,0.25,25,4.6
